concept,organization,country,year,area_ha_min,area_ha_max,crown_cover_min,crown_cover_max,height_m_min,height_m_max,width_m_min,width_m_max,definition_snippet
"basic terms, forest/forest land, general, land cover",woodland,,,,,70.0,90.0,,,,,"Fôret Claire - Woody plants > 8 m ht., 70-90% canopy cover. Yangambi Classification 1956. (Fournier 1991"
"basic terms, forest/forest land, general, land cover",,,,,,60.0,,,,,,Generally 60% tree canopy with crowns interlocking. and
"basic terms, forest/forest land, general, land cover",,,,,,10.0,,5.0,,,,"In the Preliminary Classification for Alaskan Vegetation, vegetation with at least a 10% crown cover by trees; i.e., single stemmed woody plants at least 5 m in height at maturity"
"basic terms, forest/forest land, general, land cover",2 500 - 3 500 m,,,,,,,7.0,,,,"Land covered by a closed stand of trees of one or more storeys, with an interlaced upper canopy, rising to 7 - 40 m or more in height. The ground cover is dominated by herbs and shrubs, and lianes and epiphytes are characteristic. Dwarf forests are as defined but rise to less than 7 m in height. Sub"
"basic terms, forest/forest land, general, land cover",or equivalent stocking level,,,0.5,,,,,,,,Land with tree crown cover of more than 10% and area of more than 0.5 ha. The trees should be able to reach a minimum height of at least 5m at maturity in situ
"basic terms, forest/forest land, general, land cover",stand density,,,,,,,7.0,,,,Land with tree crown cover of more than about 20% of the area. Continuous forest with trees usually growing to more than 7 m in height and able to produce wood. This includes both closed forest formations where trees of various layers and undergrowth cover a high proportion of the ground and open fo
"basic terms, forest/forest land, general, land cover",,,,,,,,3.0,,,,Lands classified as “forest” are dominated by woody vegetation over 3 m tall. Tree basal area must be greater than 10 % of a pixel
"basic terms, forest/forest land, general, land cover",Maini,,1991,,,20.0,,,,,,Landscape dominated by trees and other woody vegetation with a canopy cover of 20% or more
"basic terms, forest/forest land, general, land cover",,,,,,50.0,,,,,,"More than 50% trees. Source: Amreican Forests via Fleishman, Sandra. 2003. Why were the trees cut down? The Washington Post. Section F1,8-9. 28 June"
"basic terms, forest/forest land, general, land cover",,,2009,,,,,5.0,,,,"Natural forest be differentiated from plantations and that for defining “forest” the lower height limit defining “trees” be set at more than 5 m tall with the minimum cover of trees be set at more than 40%. Sasak, Nophea; Putz, Francis E. 2009. Critical need for new definitions of “forest” and “fore"
"basic terms, forest/forest land, general, land cover",,,1996,,,50.0,100.0,,,,,"Scholes & Hall use 50-100% tree canopy cover, and a graminaceous layer. There are also various types of woodlands"
"basic terms, forest/forest land, general, land cover",forest plantation,,,0.5,,,,,,,,"This category includes productive forest land and open woodland with naturally and artificially grown forest , and shrubs. Minimum volume density is the main characteristic of these lands, it should be 0.4 and higher for young forest and shrubs, and 0.3 and higher - in all other stands. Minimum Mapp"
"basic terms, forest/forest land, general, land cover",generally forming 60-100% cover,,,,,,,6.0,,,,Trees with their crowns interlocking . Forested Estuarine areas vegetated by woody plants 6 m tall or taller. also
"basic terms, forest/forest land, general, land cover",IGBP,,,1.0,,30.0,,,,,,"Consistent with the United Nations Framework Convention on Climate Change [UNFCCC, 2002], United Nations Food and Agriculture Organization [UNFAO, 2002], and the International Geosphere-Biosphere Programme [Belward, 1996], we defined forest cover (as opposed to forest use [Belward, 1996; Hansen et a"
"basic terms, forest/forest land, general, land cover",10 ft,,,,,,,3.0,,,,"Woody vegetation > 3 meters in height. Canopy closure must be >35% (<35% = Category 3). Also included in this category are areas commonly referenced as ""swamp"" or forested wetland"
"basic terms, forest/forest land, general, land use",SAF,,1958,,,10.0,,,,,,"Land bearing forest growth or land from which the forest has been removed but which shows evidence of past forestry occupancy and which is not now in other use. To qualify as forest, an area must: (1) be at least 100 feet wide; (2) be at least I acre in area; (3) have a sufficient number of trees to"
"basic terms, forest/forest land, general, land use",SAF,,1971,,,10.0,,,,,,"Land carrying forest growth or, if totally lacking it, bearing evidence of former forest and not now in other use. Note: Such land formally qualifies as “forest” only if not less than I acre and not less than 100 feet wide, with trees providing not less than 10 percent crown cover, or, if less, if t"
"basic terms, forest/forest land, general, land use",or equivalent stocking level,,,,,10.0,,,,,,"A land area with a minimum 10 % tree crown coverage , or formerly having such tree cover and that is being naturally or artificially regenerated or that is being afforested (Päivinen et al. 1994"
"basic terms, forest/forest land, general, land use",Asian Development Bank,,1995,,,10.0,,,,,,"An ecosystem with a minimum of 10 percent crown cover of trees and/or bamboos, generally associated with wild flora, fauna and natural soil conditions and not subject to agriculture"
"basic terms, forest/forest land, general, land use",,,,,,10.0,,,,,,"Areas with a? minimum of 10% crown cover of trees and/or bamboos, generally associated with wild flora and fauna and natural soil conditions, and are not subject to agricultural practices. Note that in some countries, some areas are statutorily defined as ?Forest Area? that contain no tree cover"
"basic terms, forest/forest land, general, land use",,,,,,30.0,,,,,,"Forest is defined as >30% crown cover and the tree height shall be >7 m. Seedlings under forest are also included in this class. Areas occupied by forest and woodlands with a vegetation pattern composed of native or exotic coniferous trees, and which can be used for the production of timber or other"
"basic terms, forest/forest land, general, land use",,,,0.4047,,,,,,,,"Land at least 10 percent stocked by trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas between heavily forested and nonforested lands that are at leas t 10 percent stocked wi"
"basic terms, forest/forest land, general, land use","Note: Stocking is measured by comparing specified standards with basal area and /or number of trees, age or size, and spacing",,,0.4047,,,,,,,,"Land at least 16.7 percent stocked by forest trees of any size, or formerly having had such tree cover, and not currently developed for nonforest use. The minimum area for classification of forest land is 1 acre. Roadside, streamside, and shelterbelt strips of timber must have a crown width of at le"
"basic terms, forest/forest land, general, land use",10 base 100,,,0.4047,,,,,,,,"Land currently growing forest trees of any size with a total stocking value of at least 16.7 in the West), or lands formerly forested, currently capable of becoming forest land, and not currently developed for nonforest uses. These lands must be a minimum of 1 acre in area. Roadside, streamside, and"
"basic terms, forest/forest land, general, land use",,,,4.047,,,,,,,,Land must be at least 10 acres of contiguous forest not developed for non-forest use
"basic terms, forest/forest land, general, land use",,,,,,25.0,,,,,,"Land with at least 25 percent tree canopy or that has been stocked with at least 10 percent forest trees of any size, including land that formerly had such tree cover and that will be naturally or artificially reforested. , 2001 and"
"basic terms, forest/forest land, general, land use",,,,,,10.0,,,,,,"Lands that have, or will have because of continued growth, more than 10 per cent canopy cover"
"basic terms, forest/forest land, general, land use",Lund,,1984,0.4,,,,,,,,"Lands that naturally have or can have at least 10 percent of the area covered by crowns of trees and are not currently developed for non-forest use. The minimum area for land classification is 0.4 ha. Unimproved roads, trails, streams, and stringers of vegetation are classed with surroundings if the"
"basic terms, forest/forest land, general, ecological",IFL,,,0.0,,,,,,,,"Intact forest landscape : a territory within today’s global extent of forest cover which contains forest and non-forest ecosystems minimally influenced by human economic activity, with an area of at least 500 km2 (50,000 ha) and a minimal width of 10 km (measured as the diameter of a circle that is "
"basic terms, forest/forest land, international, land cover",ADB,,1997,,,10.0,,,,,,"An ecosystem with a minimum of 10 percent crown cover of trees and/or bamboos, generally associated with wild flora, fauna and natural soil conditions and not subject to agriculture. Asian Development Bank"
"basic terms, forest/forest land, international, land cover",Dry-zone African countries,,,,,10.0,,,,,,"An ecosystem with a minimum of 10 percent crown cover of trees, and other wooded lands are those which are covered by trees, bushes or scattered shrubs, whether natural or planted by people, and which may be cultivated (as agro-forestry lands) or not and which are generally associated with wild flor"
"basic terms, forest/forest land, international, land cover",EarthSat GeoCover LC,,2002,,,35.0,,,,,,"Trees > 3 m height, canopy closure > 35 % (Kalensky et al. 2002"
"basic terms, forest/forest land, international, land cover",East Africa,,1943,,,,,50.0,,,,"Forest is a continuous stand of trees which may attain a height of 50 m or more, with crowns touching or intermingling and often interlaced with lianas. file:///C:/Users/Owner/Downloads/Friis_Forest_vegetation.pdf"
"basic terms, forest/forest land, international, land cover",ESA,,2009,,,15.0,,5.0,,,,">15 % crown cover, >5 meters high. European Space Agency"
"basic terms, forest/forest land, international, land cover",EU,,2000,,,,,7.0,,,,Forest land is defined as land with tree crown cover (stand density) of more than about 20% of the area. Continuous forest with trees usually growing to more than about 7 m in height and able to produce wood. This includes both closed forest formations where trees of various storeys and undergrowth 
"basic terms, forest/forest land, international, land cover",EU,,2004,0.5,,,,5.0,,,,Land with tree crown cover (or equivalent stocking level) of more than 10 % and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 m at maturity in situ
"basic terms, forest/forest land, international, land cover",EU,,,1.0,,,,,,,,"Areas spanning more than 0.5 to 1.0 hectares (depending on national definitions) with trees higher than 5 meters and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use. Land regi"
"basic terms, forest/forest land, international, land cover",Europe,,,25.0,,,,,,,,"Vegetation formation composed principally of trees, including shrub and bush understories. The surface area of the smallest unit mapped in the project is 25 hectares. nomenclature"
"basic terms, forest/forest land, international, land cover",European Community -DGXIII,,,,,10.0,,,,,,"Ecosystems with a minimum of 10 per cent crown cover of trees and/or bamboos. They usually contain wild flora, fauna and natural soil conditions, and are not subject to agricultural practices. Forests can be divided into two categories: natural and plantation forests and"
"basic terms, forest/forest land, international, land cover",European Community,,,0.5,,20.0,,,,,,"Forest (for inventory) - forest tree stands with at least 20 % canopy closure at rotation age (closed forests according to the Food and Agriculture Organization of the United Nations (FAO) definition). However, for certain types of woodland which are characteristic of the Mediterranean region (maqui"
"basic terms, forest/forest land, international, land cover",European Environment Agency,,,0.5,,,,,,,,Land with a tree canopy cover of more than 10 % and an area of more than 0.5 ha
"basic terms, forest/forest land, international, land cover",Forest Focus,,,0.5,,,,5.0,,,,"Forest has in mature state a crown cover of at least 10%, trees of height minimum 5 m, and an area of at least 0.5 ha with a width of at least 20 m"
"basic terms, forest/forest land, international, land cover",GLC legend,,2000,,,15.0,,3.0,,,,percent tree cover >15% / tree height >3m
"basic terms, forest/forest land, international, land cover",GOFC/GOLD Land and Forest Cover Classification Scheme,,2002,,,10.0,25.0,,,,,"Canopy cover 10-25 %, Tree height <1 m - > 2m. (Kalensky et al. 2002"
"basic terms, forest/forest land, international, land cover",IPCC?,,,0.05,1.0,,,,,,,"Forest land: includes all land with woody vegetation consistent with thresholds used to define forest land in the national GHG inventory, sub-divided into managed and unmanaged. It also includes systems with vegetation that currently fall below, but are expected to exceed, the threshold of the fores"
"basic terms, forest/forest land, international, land cover",Millnnieum Assessment Organization,,,0.5,,10.0,,,,,,"Forest systems: Systems in which trees are the predominant life forms. Statistics reported in this assessment are based on areas that are dominated by trees (perennial woody plants taller than five meters at maturity), where the tree crown cover exceeds 10%, and where the area is more than 0.5 hecta"
"basic terms, forest/forest land, international, land cover",OECD,,,0.5,,,,5.0,,,,Land with tree crown cover (or equivalent stocking level) of more than 10 per cent and an area of more than 0.5 hectares. The trees should be able to reach a minimum height of 5 metres at maturity in situ
"basic terms, forest/forest land, international, land cover",SADC,,1997,,,70.0,,,,,,"All wooded areas with greater than +/- 70% tree canopy cover, where the dominant canopy is greater than +/- 5m in thight (minimum height). Essentially indigenous tree species growing under natural or semi-natural conditions (although it may include some localised areas of self-seeded exotic species)"
"basic terms, forest/forest land, international, land cover",Small Islands,,,0.5,,,,5.0,,,,Forest is defined as land with tree crown cover of more than 10 percent and area of more than 0.5 ha whose primary use is forestry. The trees should be able to reach a minimum height of 5 metres at maturity in situ
"basic terms, forest/forest land, international, land cover",TBFRA,,1990,,,,,7.0,,,,TBFRA criteria for 1990 were even stricter: crown cover had to be 20 % or more and tree height at least 7 meters
"basic terms, forest/forest land, international, land cover",TBFRA,,2000,0.5,,,,,,,,items are most relevant for the present study: • Forest land: Forest is defined as “land with tree crown cover of more than 10 percent and area more than 0.5 ha.” Trees on the site are considered to be higher than 5 m
"basic terms, forest/forest land, international, land cover",UN,,2009,,,10.0,,,,,,"the UN defines a forest as any area larger than 500 square metres with crown cover of 10 per cent and trees capable of growing two metres high. The differences between native forests and monoculture industrial tree plantations cannot be identified by this definition (UN-REDD, 2009"
"basic terms, forest/forest land, international, land cover",UN-ECEE/FAO,,1997,0.5,,10.0,,5.0,,,,Land with tree crown cover (or equivalent stocking level) of more than 10 percent and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 m at maturity in situ. May consist either of closed forest formations where trees of various storeys and undergrowth cover a high po
"basic terms, forest/forest land, international, land cover",UN-EP,,2013,,,60.0,,,,,,Lands dominated by trees with a per cent canopy cover >60% and height exceeding 2 metres
"basic terms, forest/forest land, international, land cover",UN-EP,,,,,10.0,40.0,3.0,,,,Land covered by trees with the percent canopy cover greater than 10%. Trees are woody plants land cover with a single well defined stem and more than 3 meters in height. Forest with 10-40% canopy cover is classified as open forest and with 40% and above is classified as closed forest
"basic terms, forest/forest land, international, land cover",UN-EP/CBD,,2001,0.5,,,,5.0,,,,"Forest is a land area of more than 0.5 ha, with a tree canopy cover of more than 10 percent, which is not primarily under agriculture or other specific non-forest land use. In the case of young forest or regions where tree growth is climatically suppressed, the trees should be capable of reaching a "
"basic terms, forest/forest land, international, land cover",UN-EP/CBD,,2002,0.5,,,,5.0,,,,"A land area of more than 0.5 ha, with a tree canopy cover of more than 10 percent, which is not primarily under agriculture or other specific non-forest land use. In the case of young forest or regions where tree growth is climatically suppressed, the trees should be capable of reaching a height of "
"basic terms, forest/forest land, international, land cover",UN-EP-EAP-AP,,,,,10.0,40.0,3.0,,,,Land covered by trees with the percent canopy cover greater than 10%. Trees are woody plants with a single weft defined stem and more than 3 meters in height. Forest with 10-40% canopy cover is classified as open forest and with 40% and above is classified as closed forest
"basic terms, forest/forest land, international, land cover",UN-ESCO,,1973,,,,,5.0,,,,trees =5m with crowns interlocking. Woodland - trees =5m tall with crowns not usually touching but with canopy cover =40% (UNESCO 1973
"basic terms, forest/forest land, international, land cover",UN-ESCO,,1973,,,25.0,,,,,,"The standard international definition of “forest” is an area with >25 percent canopy cover by trees (UNESCO 1973; “savannah” is usually considered to be a grass-dominated system with sparse trees [by the UNESCO definition, <25 percent cover]"
"basic terms, forest/forest land, international, land cover",UN-ESCO,,1993,,,,,10.0,,,,"Continuous stand of trees at least 10 m tall, their crowns interlocking; - Rain forest, without any significant dry season and with trees usually more than 30 m high; - Dry forest, with dry season of several weeks or months; - Semi-evergreen forest, where some species are deciduous but understory mo"
"basic terms, forest/forest land, international, land cover",UN-FAO,,1990,,,10.0,,,,,,"Tropical countries) Ecosystems with a minimum of 10 percent crown cover of trees and/or bamboos, generally associated with wild flora, fauna and natural soil conditions, and not subject to agricultural practices. and"
"basic terms, forest/forest land, international, land cover",UN-FAO,,1993,100.0,,,,,,,,"Forests are ecological systems with minimum crown coverage of land surface (here assumed as 10 percent) and generally associated with wild flora, fauna and natural soil conditions; and not subject to agronomic practices. For the present assessments, a tree is defined as a woody perennial with a sing"
"basic terms, forest/forest land, international, land cover",UN-FAO,,1995,,,,,7.0,,,,Land with tree crown cover (stand density) of more than about 20 percent of the area. Continuous forest with trees usually growing to more than about 7 m in height and able to produce wood. This includes both closed forest formations where trees of various storeys and undergrowth cover a high propor
"basic terms, forest/forest land, international, land cover",UN-FAO,,1997,,,,,7.0,,,,developed countries) Land with tree crown cover (stand density) of more than about 20 per cent of the area. Continuous forest with trees usually growing to more than about 7 m in height and able to produce wood. This includes both closed forest formations where trees of various storeys and undergrow
"basic terms, forest/forest land, international, land cover",UN-FAO,,1997,,,10.0,,,,,,"developing countries) Ecological systems with a minimum of 10% crown coverage of trees and/or bamboos, generally associated with wild flora, fauna and natural soil conditions, and not subject to agricultural practices. [Source: from (concepts, definitions and methodology of the FAO Forest Resources "
"basic terms, forest/forest land, international, land cover",UN-FAO,,1999,0.5,,,,5.0,,,,"Land with tree crown cover (or equivalent stocking level) of more than 10% and area of more than 0.5 hectares (ha). The trees should be able to reach a minimum height of 5m at maturity in situ."""
"basic terms, forest/forest land, international, land cover",UN-FAO,,2000,,,40.0,,,,,,"Land with tree a crown cover of more than 10 percent, and a tree height of at least five meters. An important distinction is made between closed (40% crown cover) and open (10 -40 % crown cover) forest. . Note: There is another definition forest for FRA 2000 based on land use"
"basic terms, forest/forest land, international, land cover",UN-FAO,,2003,0.5,,10.0,,,,,,"Forest land is defined as having more than 10 percent crown cover and an area of more than 0.5 ha, and excludes land predominantly used for agriculture"
"basic terms, forest/forest land, international, land cover",UN-FAO,,2005,,,,,5.0,,,,Forest: land with trees of height 5 metres or more with crown cover of more than 10% (paragraph 11.35
"basic terms, forest/forest land, international, land cover",UN-FAO,,2005,0.5,,,,,,,,"Land spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use. FRA 2005 and 2010"
"basic terms, forest/forest land, international, land cover",UN-FAO,,2007,,,10.0,,,,,,any area larger than one hectare (0.01 square miles) with a minimum tree cover of 10 percent to be forested
"basic terms, forest/forest land, international, land cover",UN-FAO,,2014,,,10.0,,,,,,"Tree covered areas -This class includes any geographic area dominated by natural tree plants with a cover of 10% or more. Other types of plants (shrubs and/or herbs) can be present, even with a density higher than trees. Areas planted with trees for afforestation purposes and forest plantations are "
"basic terms, forest/forest land, international, land cover",UN-FAO,,,0.5,,,,,,,,Land with a tree canopy cover of more than 10% and an area of more than 0.5 ha
"basic terms, forest/forest land, international, land cover",UN-FAO-RAP,,2010,0.5,,,,,,,,"Forest is defined as: land spanning more than 0.5 hectares, with trees higher than 5 metres and a canopy cover of more than 10 percent or trees able to reach these thresholds in situ. It does not include land that is predominantly agricultural or under urban use"
"basic terms, forest/forest land, international, land cover",UN-FCCC,,2001,0.05,1.0,,,,,,,from the Marrakesh Accords of the Kyoto Protocol): An area of land: that is at least 0.05 – 1.0 hectares in size; which has more than 10-30 per cent of tree crown cover (or equivalent stocking levels); and which has trees that have the potential to reach a minimum height at maturity in situ of 2-5 m
"basic terms, forest/forest land, international, land cover",UN-HCR,,2005,,,10.0,,,,,,An ecosystem with a minimum of 10 per cent crown cover of trees. 2001) A vegetation type dominated by trees and
"basic terms, forest/forest land, international, land cover",UN-OECD,,2005,0.5,,,,5.0,,,,Land with tree crown cover (or equivalent stocking level) of more than 10 per cent and an area of more than 0.5 hectares. The trees should be able to reach a minimum height of 5 metres at maturity in situ
"basic terms, forest/forest land, international, land cover",UN-SD,,2001,0.5,,,,5.0,,,,Land with tree crown cover (or equivalent stocking level) of more than 10 per cent and area of more than 0.5 hectares and land either with a crown cover (or equivalent stocking level) of 5-10 per cent of trees able to reach a height of 5 metres at maturity in situ; or a crown cover (or equivalent st
"basic terms, forest/forest land, international, land cover",WCMC,,,,,30.0,,,,,,"While not a definition per se, the WCMC uses a 30% tree canopy cover for the development its Global Current Forest Map"
"basic terms, forest/forest land, international, land cover",World Bank,,2000,,,10.0,,,,,,"Ecosystem with a minimum of 10 percent crown cover of trees and/or bamboo, generally associated with wild flora and fauna and natural soil conditions and not subject to agricultural practices. Forests are in two categories: • Natural forests: forests composed of tree species known to be indigenous t"
"basic terms, forest/forest land, international, land cover",World Bank,,2005,0.5,,,,,,,,"Total Forest is defined as land with tree crown cover of more than 10 percent of the ground and area of more than 0.5 hectares. Tree height at maturity should exceed 5 meters. (source: Earthtrends, WRI"
"basic terms, forest/forest land, international, land cover",World Bank,,2008,1.0,,,,5.0,,,,Forest – Minimum are of 1 ha of land with tree-crown cover (or equivalent stocking level) of more than 30 percent with trees able to reach the potential of a minimum height of 5 m at maturity in situ. Young plantations and lands used for forestry are included even though they may not meet the cover 
"basic terms, forest/forest land, international, land cover",World Bank,,,1.0,,10.0,,2.0,,,,An area of land of not less than 1.0 hectare with tree crown cover (or equivalent stocking level) of more than 10 per cent with trees with the potential to reach a minimum height of 2 meters at maturity in situ. A forest may consist of either closed forest formations where trees of various stories a
"basic terms, forest/forest land, international, land cover",WRI,,,0.5,,,,,,,,Total forest area includes both natural forests and plantations. Total Forest is defined as land with tree crown cover of more than 10 percent of the ground and area of more than 0.5 hectares. Tree height at maturity should exceed 5 meters. These forest statistics are based primarily on forest inven
"basic terms, forest/forest land, international, land use",A/R - SSC A/R,,,0.05,1.0,10.0,30.0,2.0,5.0,,,“Forest” is a minimum area of land of 0.05-1.0 hectares with tree crown cover (or equivalent stocking level) of more than 10-30 per cent with trees with the potential to reach a minimum height of 2-5 metres at maturity in situ. A forest may consist either of closed forest formations where trees of v
"basic terms, forest/forest land, international, land use",EU Copenicus,,,0.5,,10.0,,,,,,"The forest type product allows to get as close as possible to the FAO forest definition. In its original (20m) resolution it consists of two products: 1) a dominant leaf type product that has a MMU of 0.5 ha, as well as a 10% tree cover density threshold applied, and 2) a support layer that maps, ba"
"basic terms, forest/forest land, international, land use",EUROSTAT,,,0.5,,10.0,,5.0,,,,Land with tree crown cover of more than 10 percent and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5m at maturity in situ. Young natural stands and all plantations established for forestry purposes which have yet to reach a crown density of 10 percent or tree heig
"basic terms, forest/forest land, international, land use",IPCC -Kyoto Protocol,,,0.05,1.0,10.0,30.0,2.0,5.0,,,A minimum area of land of 0.05 – 1.0 hectares with tree crown cover (or equivalent stocking level) of more than 10 – 30 per cent with trees with the potential to reach a minimum height of 2 – 5 metres at maturity in situ. A forest may consist either of closed forest formations where trees of various
"basic terms, forest/forest land, international, land use",IUFRO,,2002,,,10.0,,,,,,"A land area with a minimum 10% tree crown coverage (or equivalent stocking level), or formerly having such tree cover and that is being naturally or artificially regenerated or that is being afforested"
"basic terms, forest/forest land, international, land use",TBFRA-0,,2001,0.5,,10.0,,5.0,,,,forest is defined as land with tree crown cover (or equivalent stocking level) of more than 10 per cent and area more than 0.5 ha. The trees should be able to reach a minimum height of 5 m at maturity in situ. Included are: • young natural stands and all plantations established for forestry purposes
"basic terms, forest/forest land, international, land use",UN-CBD,,2010,0.5,,,,5.0,,,,"Forest is a land area of more than 0.5 ha, with a tree canopy cover of more than 10%, which is not primarily under agriculture or other specific non-forest land use. In the case of young forest or regions where tree growth is climatically suppressed, the trees should be capable of reaching a height "
"basic terms, forest/forest land, international, land use",UN-EP,,2007,0.5,,,,,,,,"Land spanning more than 0.5 hectares with trees higher than 5 metres and a canopy cover of more than 10 per cent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use"
"basic terms, forest/forest land, international, land use",UN-EP/CBD,,2001,0.5,,,,,,,,"that is more than 0.5 hectares in size; which has a tree canopy cover of more than 10 per cent; and which is not primarily under agriculture or other specific non-forest land use. It includes young forest or regions in which tree growth is climatically suppressed, only if the trees have the potentia"
