title_1,title_2,title_3,title_4,bold_terms,sources,urls,references,definition,organization,country,year
BASIC TERMS,LAND COVER,,,,USA-FED-NASA,http://eobglossary.gsfc.nasa.gov/Library/glossary.php3?mode=alpha&seg=l&segend=n,,The characteristics of a land surface as determined by its spectral signature (the unique way in which a given type of land cover reflects and absorbs light,USA-FED-NASA,United States,
BASIC TERMS,LAND COVER,,,,USA-FED-DA,,,The vegetation or other kind of material that covers the land surface. ftp://ftp-fc.sc.egov.usda.gov/NCGC/products/nri/2004range/chapter6.pdf,USA-FED-DA,United States,
BASIC TERMS,LAND COVER,,,,USA-FED-DA-NRCS,http://199.156.157.191/nri/blcu.htm; http://www.wv.nrcs.usda.gov/nri/blcu.htm,,The vegetation or other kind of material that covers the land surface. and,USA-FED-DA-NRCS,United States,
BASIC TERMS,LAND COVER,,,,USA-FED-DI-USGS,http://biology.usgs.gov/s+t/SNT/noframe/lu106.htm,,"The habitat or vegetation type present, such as forest, agriculture, and grassland",USA-FED-DI-USGS,United States,
BASIC TERMS,LAND COVER,,,,,http://envfor.nic.in/nfc/s-git.pdf,,"Broad land use classes interpreted from satellite data. The land cover classes used in this report are dense forest, open forest, scrub and nonforest",,,
BASIC TERMS,LAND COVER,,,,,http://ma.caudillweb.com/proxy/Document.782.aspx,,"Land cover - The physical coverage of land, usually expressed in terms of vegetation cover or lack of it. Related to, but not synonymous with, land use",,,
BASIC TERMS,LAND COVER,,,,,http://ceos.cnes.fr:8100/cdrom-00b/ceos1/science/glossary/glossl.htm,,"Land cover generally refers to actual ground cover, eg, vegetation, crops, urban areas and open water. It also includes associations of the Earth's surface and its cover, such as forests, which are composites of various covers. The term reef zone is often used in reef mapping in place of land cover",,,
BASIC TERMS,LAND COVER,,,,"Turner et al. 1995, 20",http://www.rri.wvu.edu/WebBook/Briassoulis/contents.htm,,"Land cover is the biophysical state of the earth’s surface and immediate subsurface"" . In other words, land cover ""describes the physical state of the land surface: as in cropland, mountains, or forests"" (Meyer 1995, 25 cited in Moser 1996, 247). Meyer and Turner (1994) add: ""it embraces, for example, the quantity and type of surface vegetation, water, and earth materials (Meyer and Turner 1994, 5). Moser (1996) notes that: ""The term originally referred to the type of vegetation that covered the land surface, but has broadened subsequently to include human structures, such as buildings or pavement, and other aspects of the physical environment, such as soils, biodiversity, and surfaces and groundwater"" (Moser 1996, 247","Turner et al. , 20",,1995
BASIC TERMS,LAND COVER,,,,Jensen 2005,http://www.utsa.edu/lrsg/teaching/es6973/project/jayar1.pdf,,"Land Cover is the type of material present on the landscape. Materials such as water, different types of vegetation, soil, and man-made materials like asphalt",Jensen,,2005
BASIC TERMS,LAND COVER,,,,,http://www.cara.psu.edu/tools/glossary.asp,,"Refers to the properties of a portion of the surface of the earth. For example, we can describe an area as covered in grassland, forests, or desert",,,
BASIC TERMS,LAND COVER,,,,one or more different land uses,,,"That which overlays or currently covers the ground, especially vegetation, permanent snow and ice fields, water bodies, or structures. Barren land is also considered a ‘land cover’ although technically it is lack of cover. The term land cover can be thought of as applying to the setting in which action takes place (USDA Forest Service 1989",one or more different land uses,,
BASIC TERMS,LAND COVER,,,,,http://ww2.iai.int/eblw1.htm,,"The actual distribution of vegetation, water, desert, ice, and other physical features of the land, including those created by human activities",,,
BASIC TERMS,LAND COVER,,,,,http://www.idg.suny.edu/HO%20submit%20SensitiveSens%2012%2017Porro.htm,,The biophysical state of the earth’s surface and immediate subsurface,,,
BASIC TERMS,LAND COVER,,,,Cihlar and Jansen 2001,,,The composition of the features of the earth's surface,Cihlar and Jansen,,2001
BASIC TERMS,LAND COVER,,,,"e.g., closed forests, open forests, or grasslands",,,The ecological state and physical appearance of the land surface (Turner and Meyer 1994,"e.g., closed forests, open forests, or grasslands",,
BASIC TERMS,LAND COVER,,,,,http://www.csc.noaa.gov/crs/lca/faq_data.html#LULC,,"The natural landscape recorded as surface components: forest, water, wetlands, urban, etc. Land cover can be documented by analyzing spectral signatures of satellite and aerial imagery",,,
BASIC TERMS,LAND COVER,,,,bio,,,"The observed physical cover on the earth's surface. Also aspects describing land itself rather than land cover have been included (e.g. bare areas, waterbodies, etc.) because in practice the scientific community is used to describe those aspects under the term land cover (Di Gregorio and Jansen 1997, 1998, Jansen and Di Gregorio 1998, Choudhury and Jansen 1998",bio,,
BASIC TERMS,LAND COVER,,,,bio,http://www.glcn-lccs.org/index.php?name=Content&pa=showpage&pid=2,,"The observed physical cover on the earth’s surface. In the strict sense, land cover is confined to vegetation and man-made features; bare rock or bare soils are describing land itself rather than land cover and it is also disputable whether water surfaces can be considered real land cover. However, in practice, the scientific community usually describes those aspects within the term land cover",bio,,
BASIC TERMS,LAND COVER,,,,,http://www.ipcc.ch/pub/SPM_SRLULUCF.pdf; http://www.bib.fsagx.ac.be/coste21/glossary.html,,The observed physical and biological cover of the Earth's land as vegetation or man-made features. and,,,
BASIC TERMS,LAND COVER,,,,,http://www.greenfacts.org/glossary/jkl/land-cover.htm,,"The physical coverage of land, usually expressed in terms of vegetation cover or lack of it. Related to, but not synonymous with, land use",,,
BASIC TERMS,LAND COVER,,,,,http://www.aag.org/hdgc/www/intro/glossary/glossary.html,,"The physical state of the land, including the quantity and type of surface vegetation, water, and earth materials",,,
BASIC TERMS,LAND COVER,,,,,http://hosting.soonet.ca/eliris/remotesensing/bl130lec6.html,,"The surface cover whether vegetation, water, bare soil, urban development or other. Identifying, delineating and mapping land cover is important for global monitoring studies, resource management, and planning activities",,,
BASIC TERMS,LAND COVER,,,,Kalensky et al. 2002,,,"The type of surface layer of the specific land area, including vegetation, barren land, open water bodies and artificial surfaces, that can be observed in the field and recorded by aerial or satellite remote sensing",Kalensky et al,,2002
BASIC TERMS,LAND COVER,,,,natural or planted,,,"The vegetation or man made constructions (buildings, etc.) which occur on the earth surface. Water, ice, bare rock, sand and similar surfaces also count as land cover. www.pamagic.org/DataStds/Current/DataStandards_LandUse_05-22-02.pdf",natural or planted,,
BASIC TERMS,LAND COVER,,,,"Burley, 1961",,,"The vegetational and artificial constructions covering the land surface . It thus includes cultural (buildings, artifacts, fields), vegetational (grass, shrubs, trees) and other (water, burned objects and areas, soil , lithology) features on the Earth's surface. (Mücher et al 1993","Burley,",,1961
BASIC TERMS,LAND COVER,,,,,http://srmwww.gov.bc.ca/risc/pubs/landuse/corporatelanduse/corporatelanduse-03.htm#a,,"The vegetative, natural or artificial construction covering the land surface",,,
BASIC TERMS,LAND COVER,,,,,http://surf.tstc.edu/~rcozby/GPS/ap_terms.htm#L,,Usually used to denote the nature of the Earth's surface in areas where the natural environment is dominant,,,
BASIC TERMS,LAND COVER,,,Land-cover change,conversion,http://www.aag.org/hdgc/www/intro/glossary/glossary.html,,"a change from one class of land cover to another , such as from grassland to cropland, or a change of condition within a land cover category (modification), such as the thinning of a forest",conversion,,
BASIC TERMS,LAND COVER,,,Land cover change,USA-FED-UDSI-USGS,http://biology.usgs.gov/s+t/SNT/noframe/lu106.htm,,describes differences in the area occupied by cover types through time,USA-FED-UDSI-USGS,United States,
BASIC TERMS,LAND COVER,,,Land cover classification,Kalensky et al. 2002,,,"A process of stratification and systematic grouping of land cover into multi-level, mutually exclusive classes according to selected criteria. It is independent of map scale, data source and geographic area",Kalensky et al,,2002
BASIC TERMS,LAND COVER,,,Land cover map legend,"forest map, forest change map, agricultural land map, land degradation map, etc.",,,"A subset of land cover classes compatible with the map scale, map type and map accuracy requirements. Furthermore, the map legend is specific to a geographic area of the map. (Kalensky et al. 2002","forest map, forest change map, agricultural land map, land degradation map, etc",,
BASIC TERMS,LAND USE,,,,European Environment Agency,http://glossary.eea.europa.eu/EEAGlossary/L/land_use; http://ec.europa.eu/agriculture/publi/landscape/gloss.htm,,"Land use corresponds to the socio-economic description (functional dimension) of areas: areas used for residential, industrial or commercial purposes, for farming or forestry, for recreational or conservation purposes, etc. Links with land cover are possible; it may be possible to infer land use from land cover and conversely. But situations are often complicated and the link is not so evident. Contrary to land cover, land use is difficult to 'observe'. For example, it is often difficult to decide if grasslands are used or not for agricultural purposes. Distinctions between land use and land cover and their definition have impacts on the development of classification systems, data collection and information systems in general. and",European Environment Agency,,
BASIC TERMS,LAND USE,,,,European Environment Agency,http://europa.eu.int/comm/agriculture/publi/landscape/gloss.htm,,"The socio-economic description (functional dimension) of areas: areas used for residential, industrial or commercial purposes, for farming or forestry, for recreational or conservation purposes, etc. Links with land cover are possible; it may be possible to infer land use from land cover and conversely. But situations are often complicated and the link is not so evident. Contrary to land cover, land use is difficult to ""observe"". For example, it is often difficult to decide if grasslands are used or not for agricultural purposes. Distinctions between land use and land cover and their definition have impacts on the development of classification systems, data collection and information systems in general",European Environment Agency,,
BASIC TERMS,LAND USE,,,,European Union,http://epaedia.eea.europa.eu/glossary.php?letter=L&gid=92#viewterm,,"Corresponds to the socio-economic description (functional dimension) of areas: areas used for residential, industrial or commercial purposes, for farming or forestry, for recreational or conservation purposes, etc. Links with land cover are possible; it may be possible to infer land use from land cover and conversely. But situations are often complicated and the link is not so evident. Contrary to land cover, land use is difficult to 'observe'. For example, it is often difficult to decide if grasslands are used or not for agricultural purposes. Distinctions between land use and land cover and their definition have impacts on the development of classification systems, data collection and information systems in general",European Union,,
BASIC TERMS,LAND USE,,,,European Union,http://circa.europa.eu/irc/dsis/coded/info/data/coded/en/gl009961.htm,,"For land use, various approaches are proposed into the literature. Two main ""schools"" may be distinguished. Land use in terms of functional dimension corresponds to the description of areas in terms of their socio-economic purpose: areas used for residential, industrial or commercial purposes, for farming or forestry, for recreational or conservation purposes, etc. Links with land cover are possible; it may be possible to infer land use from land cover and conversely. But situations are often complicated and the link is not so evident. Another approach, termed sequential, has been particularly developed for agricultural purposes. The definition is a series of operations on land, carried out by humans, with the intention to obtain products and/or benefits through using land resources. For example a sequence of operations such as ploughing, seeding, weeding, fertilising and harvesting (MÜCHER et al. 1993). Contrary to land cover, land use is difficult to ""observe"". For example, it is often difficult to decide if grasslands are used or not for agricultural purposes. The information coming from the source of observation may not be sufficient and may require additional information. In the case of agricultural use, farmers may bring information, for example if cattle are present or not, if they are grazing. It is also possible to use characteristics on the spot indicating the presence or absence of cattle. For the FUNCTIONAL approach, inference from land cover may be helpful. For the SEQUENTIAL approach, a more exhaustive recording of various attributes will be needed, for example a multi-temporal approach. In the following, land use will be understood as FUNCTIONAL",European Union,,
BASIC TERMS,LAND USE,,,,ICRAF - 2017,http://dx.doi.org/10.5716/WP16079.PDF,,"Management and modification of land cover for specific (human) purposes, such as agriculture, forestry, industrial or urban uses",ICRAF,,2017
BASIC TERMS,LAND USE,,,,IPCC - 2003,http://www.junkscience.com/draft_AR4/GLOSSARY_SOD_TSU_FINAL.pdf,,"The total of arrangements, activities and inputs undertaken (a set of human actions) in a certain land cover type. The term “land use” is also used in the sense of the social and economic purposes for which land is managed (e.g., grazing, timber extraction, and conservation). (Source: Second Order Draft Glossary IPCC WGI Fourth Assessment Rept",IPCC,,2003
BASIC TERMS,LAND USE,,,,IPCC,http://www.bib.fsagx.ac.be/coste21/glossary.html; http://www.ipcc.ch/pub/SPM_SRLULUCF.pdf,,"The social and economic purposes for which land is managed (e.g., grazing, timber extraction, conservation). and",IPCC,,
BASIC TERMS,LAND USE,,,,IPCC,http://www.bib.fsagx.ac.be/coste21/glossary.html; http://www.ipcc.ch/pub/SPM_SRLULUCF.pdf,,"The total of arrangements, activities, and inputs undertaken in a certain land cover type (a set of human actions). and",IPCC,,
BASIC TERMS,LAND USE,,,,OECD,http://stats.oecd.org/glossary/detail.asp?ID=6493,,"Land use is based on the functional dimension of land for different human purposes or economic activities. Typical categories for land use are dwellings, industrial use, transport, recreational use or nature protection areas",OECD,,
BASIC TERMS,LAND USE,,,,UN-EP,http://www.grida.no/climate/ipcc_tar/wg1/518.htm,,"The total of arrangements, activities and inputs undertaken in a certain land cover type (a set of human actions). The social and economic purposes for which land is managed (e.g., grazing, timber extraction, and conservation",UN-EP,,
BASIC TERMS,LAND USE,,,,UN-FAO-2005,http://www.fao.org/es/ess/census/PROGwca2010/glossary_r7.pdf,,Land use: classification of land according to the activity undertaken on the land (paragraphs 11.20–11.39,UN-FAO,,2005
BASIC TERMS,LAND USE,,,,USA-DOT-FHWA,http://www.fhwa.dot.gov/planning/glossary/glossary_listing.cfm?TitleStart=L,,"Refers to the manner in which portions of land or the structures on them are used, i.e. commercial, residential, retail, industrial, etc",USA-DOT-FHWA,,
BASIC TERMS,LAND USE,,,,USA-EIA,http://www.eia.gov/tools/glossary/index.cfm?id=L,,"The ultimate uses to be permitted for currently contaminated lands, waters, and structures at each Department of Energy installation. Land-use decisions will strongly influence the cost of environmental management",USA-EIA,,
BASIC TERMS,LAND USE,,,,USA-FED-Climate Change Science Program,http://www.climatescience.gov/Library/stratplan2003/final/annexd.htm#L,,"The total of arrangements, activities, and inputs undertaken in a certain land cover type (a set of human actions). The social and economic purposes for which land is managed (e.g., grazing, timber extraction, and conservation). U",USA-FED-Climate Change Science Program,United States,
BASIC TERMS,LAND USE,,,,USA-FED-EPA 2006,http://www.epa.gov/urban/glossary.htm,,"The degree to which the land reflects human activities (e.g., residential and industrial development, roads, mining, timber harvesting, agriculture, grazing, etc.). Land use describes how a piece of land is managed or used by humans. Land use is generally locally regulated in the U.S. based on zoning and other regulations. Land use mapping differs from land cover mapping in that it is not always obvious what the land use is from visual inspection. 2006",USA-FED-EPA,United States,2006
BASIC TERMS,LAND USE,,,,USA-FED-EPA,http://www.epa.gov/indicate/roe/html/roeAppDf.htm#f; http://www.epa.gov/indicators/roe/html/roeGlossL.htm,,"Describes how a piece of land is managed or used by humans. The degree to which the land reflects human activities (e.g., residential and industrial development, roads, mining, timber harvesting, agriculture, grazing, etc.). and",USA-FED-EPA,United States,
BASIC TERMS,LAND USE,,,,USA-FED-DA 1982,,,"The purpose of human activity on the land; it is usually, but not always, related to land cover. The NRI uses the term ""land cover/use"" to identify the categories that account for all the surface area in the United States [BS-1982, NRI-92] ftp://ftp-fc.sc.egov.usda.gov/NCGC/products/nri/2004range/chapter6.pdf",USA-FED-DA,United States,1982
BASIC TERMS,LAND USE,,,,USA-FED-DI-NRCS,http://199.156.157.191/nri/blcu.htm; http://www.wv.nrcs.usda.gov/nri/blcu.htm,,"The purpose of human activity on the land; it is usually, but not always, related to land cover. and",USA-FED-DI-NRCS,United States,
BASIC TERMS,LAND USE,,,,,http://ohia.com/ohia/roadshows/sky/glossary.htm,,"A particular manner of using land, such as for residences or recreation",,,
BASIC TERMS,LAND USE,,,,de Bie 2000,,,"A series of operations on land, carried out by humans, with the intention to obtain products and/or benefits through using land resources. www.pamagic.org/DataStds/Current/DataStandards_LandUse_05-22-02.pdf and",de Bie,,2000
BASIC TERMS,LAND USE,,,,,http://www.enviroliteracy.org/landuse.html,,"A term used to describe the various ways in which human beings make use of the land and its resources, including farming, mining, building, or grazing sheep and cattle",,,
BASIC TERMS,LAND USE,,,,,http://www.glenelg-hopkins.vic.gov.au/catchmentprofile/glossary.asp,,Current or intended statutory use or tenure of land,,,
BASIC TERMS,LAND USE,,,,,http://www.naturegrid.org.uk/eco-exp/glossary.html#land,,"How land is used. It might be for:· buildings, such as a housing estate, · industrial purposes, such as factories,· leisure, such as a sports centre,· agriculture, such as an orchard",,,
BASIC TERMS,LAND USE,,,,"e.g., urban, rural, agricultural, range, forest",http://www.nmlites.org/standards/socialstudies/glossary.html,,"How people use the Earth's surface ; often subdivided into specific uses (e.g., retail, low-density housing, industrial","e.g., urban, rural, agricultural, range, forest",,
BASIC TERMS,LAND USE,,,,,http://www.wocat.org/ftp/ISCOmap.pdf,,"Human activities which are directly related to land, making use of its resources or having an impact upon it",,,
BASIC TERMS,LAND USE,,,,,http://www.idg.suny.edu/HO%20submit%20SensitiveSens%2012%2017Porro.htm,,Involves both the manner in which the biophysical attributes of the land are manipulated and the intent underlying that manipulation”,,,
BASIC TERMS,LAND USE,,,,,http://srmwww.gov.bc.ca/risc/pubs/landuse/corporatelanduse/corporatelanduse-03.htm#a,,"Land ""use"" is defined in terms of a specific combination of land activity and land cover",,,
BASIC TERMS,LAND USE,,,,"Turner et al. 1995, 20",http://www.rri.wvu.edu/WebBook/Briassoulis/contents.htm,,"Land use involves both the manner in which the biophysical attributes of the land are manipulated and the intent underlying that manipulation – the purpose for which the land is used"" . In a similar vein, Meyer (1995) states that ""land use is the way in which, and the purpose for which, human beings employ the land and its resources (Meyer 1995, 25 cited in Moser 1996, 247). Briefly, land use ""denotes the human employment of land"" (Turner and Meyer 1994, 5). Skole (1994) expands further and states that ""Land use itself is the human employment of a land-cover type, the means by which human activity appropriates the results of net primary production (NPP) as determined by a complex of socio-economic factors"" (Skole 1994, 438). Finally, FAO (1995) states that ""land use concerns the function or purpose for which the land is used by the local human population and can be defined as the human activities which are directly related to land, making use of its resources or having an impact on them"" (FAO 1995, 21","Turner et al. , 20",,1995
BASIC TERMS,LAND USE,,,,,http://www.glcn-lccs.org/index.php?name=Content&pa=showpage&pid=2,,"Land use is characterized by the arrangements, activities and inputs people undertake in a certain land cover type to produce, change or maintain it. The definition of land use establishes a direct link between land cover and the actions of people in their environment",,,
BASIC TERMS,LAND USE,,,,Jensen 2005,http://www.utsa.edu/lrsg/teaching/es6973/project/jayar1.pdf,,"Land Use refers to what people do on the land surface, such as agriculture, commercial and residential development, and transportation",Jensen,,2005
BASIC TERMS,LAND USE,,,,,http://www.nscb.gov.ph/ru12/DEFINE/DEF-ENV.HTM,,"Man's activities on land of which settlements, forestry, agriculture, mining, grazing and water use are the most predominant",,,
BASIC TERMS,LAND USE,,,,Anderson et al. 1976,,,Man's activities on land which are directly related to land,Anderson et al,,1976
BASIC TERMS,LAND USE,,,,,http://www.cara.psu.edu/tools/glossary.asp,,"Refers to how land is utilized by humans, as in agricultural land use, urban development, or mining",,,
BASIC TERMS,LAND USE,,,,,http://www.raqc.org/more/define.htm#L,,"Refers to the manner in which portions of land or the structures on them are used, e.g., commercial, residential, retail, industrial, etc",,,
